DATAFLOW,LAST UPDATE,freq,unit,tra_infr,tra_meas,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SI,2001,1228.600,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SI,2002,1228.600,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SI,2003,1228.700,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SI,2004,1228.700,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SI,2005,1228.100,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SI,2006,1228.070,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SI,2007,1228.070,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SI,2008,1228.070,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SI,2009,1228.070,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SI,2010,1228.070,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SI,2011,1209.130,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SI,2012,1209,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SI,2013,1209,
ESTAT:RAIL_IF_LINE_NA(1.0),31/07/24 23:00:00,A,KM,TOTAL,TOTAL,SI,2014,1209,
