DATAFLOW,LAST UPDATE,freq,tra_infr,n_tracks,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,CH,2020,3224,s
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,CH,2021,3212,s
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,CH,2022,3190,s
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,CZ,1993,999,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,CZ,1994,999,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,CZ,1995,971,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,CZ,1996,1134,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,CZ,1997,1135,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,CZ,1998,1134.100,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,CZ,1999,1130,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,CZ,2000,1130,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,CZ,2001,1232,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,CZ,2002,1227,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,CZ,2003,1255,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,CZ,2004,1274,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,CZ,2005,1272,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,CZ,2006,1291,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,CZ,2007,1294,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,CZ,2008,1262,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,CZ,2009,1345,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,CZ,2010,1376,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,CZ,2011,1368,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,CZ,2012,1363,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,CZ,2013,1363,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,CZ,2014,1346,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,CZ,2015,1346,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,CZ,2016,1344,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,CZ,2017,1340,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,CZ,2018,1294,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,CZ,2019,1286,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,CZ,2020,1284,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,CZ,2021,1279,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,CZ,2022,1244,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,DE,1990,3134,s
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,DE,1991,3152,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,DE,1992,3220,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,DE,1993,3406,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,DE,1994,3822,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,DE,1995,3871,
ESTAT:RAIL_IF_LINE_TR(1.0),31/07/24 23:00:00,A,RL_ELC,1,KM,DE,1996,3844,
