DATAFLOW,LAST UPDATE,freq,unit,c_load,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,MK,2021,104,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,MK,2022,97,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,NL,2017,1,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,PL,2003,1,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,PL,2004,1,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,PL,2005,4,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,PL,2006,7,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,PL,2007,15,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,PL,2008,5,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,PL,2009,0,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,PL,2010,8,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,PL,2011,29,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,PL,2012,8,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,PL,2013,9,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,PL,2014,6,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,PL,2015,3,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,PL,2016,1,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,PL,2017,4,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,PL,2018,9,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,PL,2020,2,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,PL,2021,3,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,PL,2022,12,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,PL,2023,12,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,RO,2004,375,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,RO,2005,408,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,RO,2006,402,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,RO,2007,453,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,RO,2008,377,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,RO,2009,116,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,RO,2010,152,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,RO,2011,182,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,RO,2012,217,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,RO,2013,240,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,RO,2014,288,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,RO,2015,249,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,RO,2016,393,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,RO,2017,398,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,RO,2018,574,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,RO,2019,567,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,RO,2020,684,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,RO,2021,665,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,RO,2022,662,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,RO,2023,619,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,SE,2003,0,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,SE,2007,0,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,SE,2013,0,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,SE,2016,0,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,SE,2017,1,
ESTAT:RAIL_GO_INTCMGN(1.0),05/09/24 11:00:00,A,THS_T,BG,SE,2018,0,
