DATAFLOW,LAST UPDATE,freq,unit,accident,victim,pers_cat,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,EE,2022,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,EL,2010,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,EL,2011,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,EL,2012,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,EL,2013,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,EL,2014,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,EL,2015,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,EL,2016,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,EL,2017,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,EL,2018,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,EL,2019,2,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,EL,2020,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,EL,2021,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,EL,2022,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,ES,2006,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,ES,2007,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,ES,2008,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,ES,2009,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,ES,2010,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,ES,2011,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,ES,2012,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,ES,2013,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,ES,2014,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,ES,2015,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,ES,2016,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,ES,2017,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,ES,2018,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,ES,2019,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,ES,2020,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,ES,2021,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,ES,2022,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,EU27_2020,2010,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,EU27_2020,2011,2,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,EU27_2020,2012,8,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,EU27_2020,2013,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,EU27_2020,2014,30,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,EU27_2020,2015,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,EU27_2020,2016,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,EU27_2020,2017,0,
ESTAT:TRAN_SF_RAILVI(1.0),13/02/24 23:00:00,A,NR,RSTK_MOT,INJ_SRL,LV_USR,EU27_2020,2018,0,
