DATAFLOW,LAST UPDATE,freq,consign,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,MIO_TKM,SE,2006,10116,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,MIO_TKM,SE,2007,11388,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,MIO_TKM,SE,2008,11281,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,MIO_TKM,SE,2009,10896,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,MIO_TKM,SE,2010,12168,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,MIO_TKM,SE,2011,12619,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,MIO_TKM,SE,2012,12125,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,MIO_TKM,SE,2013,11872,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,MIO_TKM,SE,2014,12581,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,MIO_TKM,SE,2015,12645,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,MIO_TKM,SE,2016,12492,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,MIO_TKM,SE,2017,12322,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,MIO_TKM,SE,2018,14023,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,MIO_TKM,SE,2019,13703,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,MIO_TKM,SE,2020,13574,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,MIO_TKM,SE,2021,14400,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,MIO_TKM,SE,2022,,c
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,MIO_TKM,SE,2023,13389,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,MIO_TKM,SI,2004,2011,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,MIO_TKM,SI,2005,1650,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,MIO_TKM,SI,2006,1748,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,MIO_TKM,SI,2008,1642,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,MIO_TKM,SI,2009,1045,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,MIO_TKM,SI,2010,1281,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,MIO_TKM,SI,2011,1392,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,MIO_TKM,SI,2012,1156,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,MIO_TKM,SI,2013,1099,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,MIO_TKM,SI,2014,986,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,MIO_TKM,SI,2015,948,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,MIO_TKM,SI,2016,943,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,MIO_TKM,SI,2017,955,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,MIO_TKM,SI,2018,945,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,MIO_TKM,SI,2019,870,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,MIO_TKM,SI,2020,789,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,MIO_TKM,SI,2021,789,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,MIO_TKM,SI,2022,811,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,MIO_TKM,SI,2023,719,
ESTAT:RAIL_GO_CONSGMT(1.0),04/09/24 23:00:00,A,WAG_FUL,MIO_TKM,SK,2004,3502,
