DATAFLOW,LAST UPDATE,freq,tra_infr,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,EL,2012,2554,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,EL,2013,2586,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,EL,2014,2238,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,EL,2015,2240,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,EL,2016,2240,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,EL,2017,2240,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,EL,2018,2293,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,EL,2019,2280,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,EL,2020,2345,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,EL,2021,2339,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,EL,2022,1990,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,ES,2008,11332,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,ES,2009,11333,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,ES,2010,11287,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,ES,2011,11326,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,ES,2012,11327,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,ES,2013,12604,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,ES,2014,6607,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,ES,2015,6798,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,ES,2016,13038,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,ES,2017,12816,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,ES,2018,12682,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,ES,2019,12535.238,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,ES,2020,12483.034,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,ES,2021,12351.230,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,ES,2022,12352.291,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,EU27_2020,2008,186280.070,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,EU27_2020,2009,185259.270,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,EU27_2020,2010,185949.670,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,EU27_2020,2011,184251.130,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,EU27_2020,2012,183851,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,EU27_2020,2013,183865.501,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,EU27_2020,2014,175821.365,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,EU27_2020,2015,175316.702,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,EU27_2020,2016,181403.442,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,EU27_2020,2017,179520.870,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,EU27_2020,2018,178975.058,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,EU27_2020,2019,179018.805,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,EU27_2020,2020,178168.857,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,EU27_2020,2021,177829.765,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,EU27_2020,2022,177317.979,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,FI,2008,5297,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,FI,2009,5297,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,FI,2010,5297,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,FI,2011,5322,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,FI,2012,5322,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,FI,2013,5322,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,FI,2014,5038,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,FI,2015,5017,b
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,FI,2016,4867,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,FI,2017,4867,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,FI,2018,4806,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,FI,2019,4803,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,FI,2020,4798,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,FI,2021,4798,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,FI,2022,4798,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,FR,2008,21482,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,FR,2009,21128,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,FR,2010,20972,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,FR,2011,19550,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,FR,2012,19700,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,FR,2013,19637,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,FR,2014,18705,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,FR,2015,18061,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,FR,2016,17602,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,FR,2017,15811.367,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,FR,2018,15285,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,FR,2019,15174,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,FR,2020,14904,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,FR,2021,14748,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,FR,2022,14636,s
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,GE,2012,1418,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,GE,2013,1578,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,GE,2014,1576,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,GE,2015,1576,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,GE,2016,1576,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,GE,2017,1142.460,b
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,GE,2018,1144,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,GE,2019,1144,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,GE,2020,1114.400,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,GE,2021,1114.400,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,GE,2022,1114.400,
ESTAT:RAIL_IF_LINE_SP(1.0),31/07/24 23:00:00,A,RL_CV,KM,HR,2008,2722,
