DATAFLOW,LAST UPDATE,freq,unit,nst07,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,EL,2018,7,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,EL,2019,2,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,EL,2020,1,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,EL,2021,0,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,EL,2022,0,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,EL,2023,0,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,ES,2008,219,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,ES,2009,545,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,ES,2010,639,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,ES,2011,722,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,ES,2012,676,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,ES,2013,663,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,ES,2014,703,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,ES,2015,796,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,ES,2016,838,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,ES,2017,699,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,ES,2018,516,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,ES,2019,544,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,ES,2020,472,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,ES,2021,478,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,ES,2022,588,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,ES,2023,568,
ESTAT:RAIL_GO_GRPGOOD(1.0),04/09/24 23:00:00,A,MIO_TKM,GT01,EU27_2007,2013,,c
