DATAFLOW,LAST UPDATE,freq,unit,accident,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,FI,2011,2,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,FI,2012,0,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,FI,2013,0,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,FI,2014,1,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,FI,2015,0,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,FI,2016,4,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,FI,2017,0,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,FI,2018,0,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,FI,2019,1,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,FI,2020,0,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,FI,2021,0,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,FI,2022,1,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,FR,2006,48,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,FR,2007,85,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,FR,2008,97,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,FR,2009,7,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,FR,2010,15,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,FR,2011,12,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,FR,2012,17,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,FR,2013,10,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,FR,2014,23,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,FR,2015,27,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,FR,2016,7,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,FR,2017,7,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,FR,2018,10,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,FR,2019,20,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,FR,2020,22,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,FR,2021,24,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,FR,2022,18,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,HR,2010,0,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,HR,2011,0,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,HR,2012,1,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,HR,2013,0,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,HR,2014,2,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,HR,2015,0,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,HR,2016,0,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,HR,2017,1,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,HR,2018,0,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,HR,2019,1,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,HR,2020,0,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,HR,2021,1,
ESTAT:TRAN_SF_RAILAC(1.0),13/02/24 23:00:00,A,NR,COLLIS,HR,2022,2,
