DATAFLOW,LAST UPDATE,freq,unit,tra_infr,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LT,2008,242.500,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LT,2009,242.500,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LT,2010,242.500,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LT,2011,242.300,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LT,2012,242.300,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LT,2013,242.300,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LT,2014,242.300,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LT,2015,242.300,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LT,2016,242.300,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LT,2017,302.900,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LT,2018,302.900,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LT,2019,317.500,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LT,2020,317.500,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LT,2021,317.500,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LT,2022,440.700,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LU,1995,528,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LU,1996,526,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LU,1997,526,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LU,1998,526,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LU,1999,526,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LU,2000,574,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LU,2001,574,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LU,2002,573,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LU,2003,574,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LU,2004,575,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LU,2005,576,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LU,2006,576,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LU,2007,576,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LU,2008,576,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LU,2009,583,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LU,2010,583,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LU,2011,583,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LU,2012,590,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LU,2013,590,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LU,2014,590,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LU,2015,590,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LU,2016,590,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LU,2017,590,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LU,2018,590,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LU,2019,596,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LU,2020,596,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LU,2021,596,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LU,2022,596,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LV,1990,522,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LV,1992,271,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LV,1993,271,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LV,1994,271,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LV,1995,271,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LV,1996,271,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LV,1997,271,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LV,1998,270,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LV,1999,258,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LV,2000,258,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LV,2001,257,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LV,2002,257,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LV,2003,257,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LV,2004,257,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LV,2005,257,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LV,2006,257,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LV,2007,257,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LV,2008,648,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LV,2009,648,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LV,2010,648,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LV,2011,648,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LV,2012,499,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LV,2013,494,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LV,2014,502,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LV,2015,502,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LV,2016,502,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LV,2017,502,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LV,2018,502,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LV,2019,502,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LV,2020,502.300,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LV,2021,502.300,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,LV,2022,502.300,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,MD,1990,0,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,MD,1991,0,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,MD,1992,0,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,MD,1993,0,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,MD,1994,0,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,MD,1995,0,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,MD,1996,0,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,MD,1997,0,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,MD,1998,0,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,MD,1999,0,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,MD,2000,0,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,MD,2001,0,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,MD,2002,0,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,MD,2004,0,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,MD,2009,0,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,MD,2010,0,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,MD,2011,0,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,MD,2012,0,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,MD,2014,0,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,MD,2015,0,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,MD,2016,0,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,MD,2017,0,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,MD,2018,0,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,MD,2019,0,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,MD,2020,0,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,MD,2021,0,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,MD,2022,0,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,ME,2011,301.270,s
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,ME,2012,301.270,s
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,ME,2013,301.270,s
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,ME,2014,301,s
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,ME,2015,301,s
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,ME,2016,303,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,ME,2017,303,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,ME,2018,303,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,ME,2019,303,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,MK,1990,233,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,MK,1992,231,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,MK,1993,231,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,MK,1994,233,
ESTAT:RAIL_IF_TRACKS(1.0),31/07/24 23:00:00,A,KM,RT_ELC,MK,1995,233,
